min	max	mean	var	std
148792.54973409744	149393.69216920136	149353.97619133547	15368.910548484808	123.97141020608262
148730.17933285816	149387.63549782007	149297.24560745712	36924.96589522792	192.15869976461622
148758.9647289339	149387.54256014896	149171.7426450109	65744.58211613352	256.4070633117066
143837.856674886	149384.34978900765	148982.48761207037	330180.8800054231	574.6136789229987
138405.10725536558	158273.61256913957	148787.5980372411	7111288.521036543	2666.6999308202157
97398.68247807975	425486.9650692738	148557.63142362266	883401967.8121299	29722.07879358592
97398.68247807975	425486.9650692738	147556.4932325288	922146218.2372155	30366.860526521596
92950.88279808582	961969.583063594	160961.8625368534	9770388567.924341	98845.27590089645
92950.88279808582	961969.583063594	158898.1896393851	9630935204.768112	98137.32829442684
60665.422756725326	149391.01325968848	129356.60792365193	578538710.6414146	24052.83165536679
60665.422756725326	149349.35613686955	110483.37806552813	702880598.0119598	26511.895405873187
19971.558672157735	149356.01541210568	92554.36354113475	708297141.1413089	26613.852429539562
19971.558672157735	129895.02548696887	72016.33809517053	614845048.8228866	24796.069221206948
19388.226074609804	189610.34414117743	57049.2468084671	769559293.0456909	27740.931726344214
19284.171592938845	1070209994.748453	10792729.86844365	1.1337159879806252e+16	106476100.04036705
10784.397502345451	149239.33896418178	37225.008281079216	617113049.1739737	24841.760186709267
10784.397502345451	149373.90413121769	27571.098511964985	527605718.85916334	22969.669541792788
10784.397502345451	140358.60938441523	19389.462239634762	190832008.45202187	13814.195903201238
7722.438680026601	60366.55407306529	15145.49109566078	47864281.35059577	6918.401647099984
7722.438680026601	135289.83175990722	15494.426221107868	287974245.1902357	16969.803923152314
7722.438680026601	147564.216264831	15931.433511527848	577785681.8088435	24037.172916315336
5155.050356728797	117870.68820858856	11212.584297010331	120020856.7031132	10955.40308263978
5155.050356728797	131786.81261279687	11370.193817639467	179467568.60287312	13396.550623308714
4871.397899615371	1415983.959346589	65474.05599012458	45116677243.91365	212406.86722399926
4298.735446884732	141703.93927678195	11296.284013621747	330052307.48950255	18167.341783802676
4666.175589096926	24140.48018331179	7287.995729932832	5726338.511054981	2392.976914024659
4666.175589096926	126286.29387789223	7794.351956816061	144196896.3398658	12008.201211666375
4666.175589096926	32303.344677935092	6495.369557145738	15449450.946422996	3930.5789581718104
4666.175589096926	115213.49912156045	7048.558450576554	131365399.5403788	11461.474579668133
4653.920762081542	34322.03627030893	5393.742325663331	8788392.340209188	2964.5222785820297
4009.757959530373	13059.349569653943	4975.442403698102	905073.513644512	951.3535166511512
4009.757959530373	179587.0905856903	13554.400649939109	1127101103.2700713	33572.326450070024
3389.058941726295	134548.3504757013	6055.651680071434	167685856.35112664	12949.357372129578
3389.058941726295	33608.69323418297	4850.652387928202	8870205.651395803	2978.289047657363
3389.058941726295	5043.670426330717	4214.634724889515	160661.5257752781	400.8260542620428
3326.3574588151578	12032.747229042488	4057.871850104943	796419.9501844986	892.4236382932147
3326.3574588151578	28451.042851841154	4084.5503779377723	6133326.470695163	2476.5553639471023
2769.4401598649465	4543.650178719854	3603.9181355247583	120657.53776561926	347.35793897019147
2769.4401598649465	35107.95605124229	3694.385096560308	10100812.334837968	3178.1775178296707
2769.4401598649465	8023.704923538072	3354.5081830080294	586442.6239542337	765.7954191259137
2638.2546251840067	16976.244886106924	3209.797873015499	2019585.5036901822	1421.1212135810872
2334.446939629872	132212.02330662336	4317.883066254774	166048505.33403388	12885.980961263052
2334.446939629872	119179.84921072378	4533.78831344434	154164600.1299522	12416.303803062818
2334.446939629872	129548.36682583923	5624.114800260989	295799077.72547185	17198.81035785533
2187.621038274662	2920.1206445214193	2622.6588418941897	22799.4660766232	150.99492069809236
2111.458464472053	15071.225338333554	2727.583230269591	2098884.5199228246	1448.7527463038075
2111.458464472053	148144.16640910468	5701.5330507290755	391121247.9725656	19776.785582408622
2055.7673620296973	6922.565714172478	2401.641264120024	229006.61019773685	478.54635114870206
2055.7673620296973	123325.07754796656	3540.2180948501796	144972132.34152365	12040.437381653694
2055.7673620296973	5806.384397892877	2328.6845258534927	209733.53413453442	457.9667391138077
2048.4613750236354	3590.5871868136587	2212.0494453254373	43081.69447615593	207.56130293519533
2023.0402827744592	3196.4631825118126	2137.889095859783	18031.800399941338	134.28253944553379
1946.617101735937	3145.4404937485206	2111.9476738693256	15848.198385023315	125.88962778967661
1946.617101735937	32547.272078793798	2556.3107406017716	11310064.867678804	3363.0439883651247
1946.2614850136642	2646.2608325030183	2068.4792774989883	5595.204256070042	74.80109796032437
1946.2614850136642	3991.139236717188	2079.0054890450488	51818.94336366733	227.63774591149712
1703.2934299340113	3408.2041642963704	2023.0862488601604	26540.743745230586	162.91330131462743
1703.2934299340113	17907926.086256944	185172.52540194962	3173069774636.9824	1781311.2514765584
1670.4890782866908	132343.16275627413	6404.228393602304	480323666.5238602	21916.28769942255
1670.4890782866908	225630.3490918039	17522.208824367317	1724168470.5568824	41523.10766978891
1670.4890782866908	147379.63272548572	11723.893280492613	1107031810.2706063	33272.08755504539
1670.4890782866908	4541.882756161373	2054.8959860329323	245906.99405065246	495.8901027956219
1670.4890782866908	13757.490709569505	1992.0814042802447	1434160.5320412796	1197.5644166562731
1599.1178370488162	2040.6245570659778	1768.6180619652494	11605.250296316548	107.72766727408771
1592.1832241788904	4122.4324256989175	1753.4193210857918	68197.59364667055	261.146689901807
1592.1832241788904	11503.636928766127	1831.7723125866332	1006355.6371168175	1003.1727852752075
1589.5909208065327	28562.42948571841	2400.75550341693	14865132.175256345	3855.532670754632
1544.3545376130874	7736.609733098617	1736.3733652245567	397535.7564493764	630.5043667171358
1463.068974189424	7736.609733098617	1730.3063076244057	442185.3458481646	664.9701841798357
1434.0604746978815	3697.1288658138637	1656.5290843615894	116666.65798452603	341.56501282263383
1423.6982826151789	26126116.055045567	292723.70938980265	6761686780521.534	2600324.3606368676
1423.6982826151789	137821.845991095	3247.7223025731296	186341837.15487212	13650.708302314284
1423.6982826151789	40363.95205798046	1990.7059026243264	14943360.203273358	3865.664264169013
1434.0604746978815	3794.610451589562	1645.464661336205	186579.04173952647	431.9479618420794
1434.0604746978815	119625.16360761796	2967.3038330382433	140901212.13408867	11870.181638630836
1434.0604746978815	11028.3151497741	1626.8458030321199	1027429.5562295631	1013.6219986906179
1370.6940924053613	3124.7465603670703	1489.4654185928905	55192.366261645126	234.9305562536409
1370.6940924053613	12915.156846148837	1619.1027616270103	1396679.3411399613	1181.8118890669366
1370.6940924053613	26635.556624199988	2116.223539782543	11841640.11284657	3441.168422621388
1240.0817441200638	134948.19759599082	2855.0991112354664	176336853.2745104	13279.188728025158
1369.3178978430306	21620350.978826404	691898.6498642019	13570377447861.465	3683799.3224199205
1369.3178978430306	142034.28765973018	6157.397771730691	379180257.9844655	19472.551398942705
1352.7547269841489	135024.74835646403	4760.382264893261	318972580.3932286	17859.803481372033
1352.7547269841489	16499.99222270196	1813.4646170967433	3903467.0016325354	1975.7193630757722
1351.1662404785268	3410.5973669583864	1480.4671143739938	140122.40616201365	374.3292750534129
1322.4246552065376	40074.87801744821	1932.1091287028448	16088814.524447175	4011.0864518789886
1321.600358053023	41056.57476624426	1895.626145478027	15760800.821211193	3969.9875089490133
1321.600358053023	3045.350431544021	1458.865633246997	123889.8580978168	351.979911497541
1312.507403510582	122411.11733952956	3221.0407914967523	158028682.05674016	12570.945949161509
1312.507403510582	3076.033009900904	1409.5434010665924	97645.5413539129	312.48286569652566
1089.8219143399099	16201.422543361854	1701.4153826820193	3773629.0143704163	1942.5830778554662
1089.8219143399099	13101.234531729384	1718.3999679371177	2677096.883877542	1636.1836339107972
1089.8219143399099	10565.882240451194	1613.949061376308	1953037.6009161114	1397.5112167407142
1089.8219143399099	6382834.843221914	66956.41770807322	403122900646.8201	634919.6017188476
1089.8219143399099	33940.86950467737	1808.8380576057475	12410104.00432109	3522.7977524009366
1089.8219143399099	138434.18210686228	2829.1524711047905	186758160.97155607	13665.948959788928
817.7534847829153	4147.789268029536	1279.969803542701	240288.75711208038	490.19257145746343
817.7534847829153	2747.3019465032294	1174.6856250381823	111989.88316073474	334.64889535262887
817.7534847829153	2541.737664250107	1163.332738189712	101815.99762471102	319.0861915293594
817.7534847829153	130655.11249401938	2807.0933281447146	169609218.26601943	13023.410393058319
